Rank,Land Area (sq mi),City,State,Population
280,66.11,Irvine, CA,"229,850"
281,65.76,Cooper Landing, AK,323
282,65.70,Palm Bay, FL,"104,342"
283,65.63,Badger, AK,"21,175"
284,65.27,Lakeland, FL,"99,942"
285,65.01,Hollis, AK,129
286,64.41,Chandler, AZ,"245,231"
287,64.25,Ester, AK,"2,653"
288,64.24,Concord, NH,"42,514"
289,63.87,Flagstaff, AZ,"67,419"
290,63.80,Texas City, TX,"45,802"
291,63.60,Ferry, AK,7
292,63.46,Arctic Village, AK,118
293,63.37,Chino Valley, AZ,"10,879"
294,63.35,Lees Summit, MO,"92,813"
295,63.08,Columbia, MO,"113,155"
296,62.95,Davenport, IA,"101,316"
297,62.66,West Odessa, TX,"22,818"
298,62.26,Rio Rico, AZ,"18,837"
299,62.24,Central, LA,"27,505"
300,62.21,Mckinney, TX,"144,066"
301,62.20,Aleneva, AK,63
302,62.17,Lake Sumner, NM,126
303,62.11,Joliet, IL,"147,786"
304,62.03,Akron, OH,"198,492"
305,61.97,Fort Smith, AR,"87,193"
306,61.91,Saint Louis, MO,"318,727"
307,61.80,Frisco, TX,"130,499"
308,61.74,Saint Petersburg, FL,"248,429"
309,61.67,Stockton, CA,"297,223"
310,61.62,Berlin, NH,"9,710"
311,61.61,North Fork, AZ,"1,763"
312,61.57,Bray, OK,"1,252"
313,61.57,Broken Arrow, OK,"101,917"
314,61.39,Waterloo, IA,"68,392"
315,61.30,Gainesville, FL,"126,465"
316,61.08,Rockford, IL,"151,290"
317,61.05,Washington, DC,"633,736"
318,61.00,Sedan, MT,174
319,60.73,Gakona, AK,163
320,60.52,Urban Honolulu, HI,"345,130"
321,60.46,Hitchcock, TX,"7,206"
322,60.27,Concord, NC,"82,266"
323,60.23,Tuscaloosa, AL,"93,325"
324,60.17,Topeka, KS,"127,660"
325,60.10,Phelan, CA,"12,947"
326,60.08,Tununak, AK,297
327,59.98,Glendale, AZ,"231,978"
328,59.97,Cordova, AK,"2,637"
329,59.85,Newcastle, OK,"8,383"
330,59.81,Spring Hill, FL,"100,270"
331,59.81,Richmond, VA,"211,063"
332,59.80,Barnstable Town, MA,"44,750"
333,59.66,Olathe, KS,"129,913"
334,59.65,Redding, CA,"90,725"
335,59.62,Edna Bay, AK,21
336,59.59,Inez, TX,"2,260"
337,59.59,Opelika, AL,"27,956"
338,59.48,Springfield, IL,"116,815"
339,59.39,Eufaula, AL,"12,897"
340,59.38,Bullhead City, AZ,"39,480"
341,59.33,Auburn, ME,"22,960"
342,59.25,Spokane, WA,"210,142"
343,59.23,Chaparral, NM,"13,905"
344,59.20,San Bernardino, CA,"213,044"
345,59.14,Twentynine Palms, CA,"25,601"
346,58.77,Spring Creek, NV,"14,012"
347,58.66,Lazy Mountain, AK,"1,629"
348,58.56,Volcano, HI,"2,603"
349,58.41,Daytona Beach, FL,"61,913"
350,58.29,Mojave, CA,"4,172"
351,58.12,Dolan Springs, AZ,"2,254"
352,58.07,Auburn, AL,"56,986"
353,57.74,Schurz, NV,728
354,57.59,Sutton-Alpine, AK,"1,390"
355,57.35,Sioux City, IA,"82,719"
356,57.27,Pie Town, NM,61
357,57.12,Berry Creek, CA,"1,292"
358,57.08,Garland, TX,"232,305"
359,57.06,Paulden, AZ,"4,909"
360,56.92,Williamson, AZ,"5,398"
361,56.86,San Angelo, TX,"96,177"
362,56.58,Union City, OK,"1,647"
363,56.57,Harper, TX,"1,056"
364,56.56,Squaw Valley, CA,"2,450"
365,56.49,Coolidge, AZ,"12,058"
366,56.44,Hoyt Lakes, MN,"2,003"
367,56.01,Adelanto, CA,"31,773"
368,56.00,Sandy Valley, NV,"1,354"
369,55.79,Oakland, CA,"402,339"
370,55.76,Mountain View, HI,"3,078"
371,55.75,New River, AZ,"15,432"
372,55.72,Macon, GA,"91,351"
373,55.69,Longview, TX,"82,030"
374,55.66,Spanish Springs, NV,"15,322"
375,55.65,Dayton, OH,"141,776"
376,55.63,Pope-Vannoy Landing, AK,6
377,55.59,Gulfport, MS,"69,913"
378,55.58,Lame Deer, MT,"2,131"
379,55.49,Fort Payne, AL,"14,115"
380,55.43,Karluk, AK,30
