Rank,Land Area (sq mi),City,State,Population
7332,4.9,Andrews, TX,"12,160"
13107,2.2,Andrews, SC,"2,839"
15504,1.63,Andrews, NC,"1,959"
22698,0.65,Andrews, IN,"1,099"
12709,2.31,Anegam, AZ,77
19836,0.99,Aneta, ND,278
3306,11.03,Aneth, UT,426
1025,28.93,Angel Fire, NM,"1,161"
13290,2.15,Angelica, NY,894
15849,1.57,Angelica, WI,87
9377,3.63,Angels, CA,"3,782"
16018,1.53,Angie, LA,251
11011,2.91,Angier, NC,"4,760"
15062,1.74,Angle Inlet, MN,25
3230,11.27,Angleton, TX,"19,034"
5813,6.34,Angola, IN,"8,610"
16632,1.42,Angola, NY,"1,813"
11989,2.55,Angola On The Lake, NY,"1,720"
1299,24.41,Angoon, AK,416
19217,1.03,Anguilla, MS,566
10056,3.29,Angus, TX,379
7406,4.83,Angwin, CA,"3,583"
5741,6.42,Aniak, AK,519
2236,15.67,Animas, NM,148
15204,1.7,Anita, IA,927
13525,2.09,Aniwa, WI,242
1003,29.33,Ankeny, IA,"49,488"
19004,1.06,Anmoore, WV,866
1092,27.83,Ann Arbor, MI,"115,985"
2526,14.05,Anna, TX,"9,108"
9612,3.5,Anna, IL,"4,385"
19265,1.03,Anna, OH,"1,444"
21935,0.74,Anna Maria, FL,"1,219"
22224,0.7,Annabella, UT,894
29067,0.06,Annada, MO,52
4741,7.86,Annandale, VA,"43,479"
10859,2.97,Annandale, MN,"3,281"
16457,1.45,Annandale, NJ,"1,404"
5159,7.18,Annapolis, MD,"38,599"
25699,0.36,Annapolis, MO,420
29194,0.03,Annapolis, IL,55
5332,6.95,Annapolis Neck, MD,"11,266"
14009,1.98,Annawan, IL,930
12688,2.32,Annetta, TX,"1,509"
9939,3.35,Annetta North, TX,415
14272,1.91,Annetta South, TX,537
12237,2.46,Annex, OR,317
494,45.64,Anniston, AL,"22,749"
25314,0.39,Anniston, MO,219
21362,0.8,Annona, TX,348
4657,8,Annville, KY,766
15609,1.61,Annville, PA,"4,826"
5519,6.7,Anoka, MN,"17,202"
23570,0.56,Anoka, NE,15
26844,0.27,Anselmo, NE,147
23210,0.59,Ansley, NE,398
