Rank,AVG Min Temp,City,State,Population
35008,31.83 F,Abrams, WI,384
36489,29.76 F,Absaraka, ND,0
34912,31.94 F,Absarokee, MT,"1,074"
15623,43.29 F,Absecon, NJ,"8,400"
286,65.07 F,Acacia Villas, FL,614
9048,47.79 F,Acalanes Ridge, CA,"1,226"
8675,48.22 F,Acampo, CA,776
25346,38.72 F,Accident, MD,309
12239,45.14 F,Accokeek, MD,"10,806"
8201,48.66 F,Accomac, VA,485
23087,40.03 F,Accord, MA,0
33198,34.05 F,Accord, NY,765
16036,43.09 F,Accoville, WV,460
2319,56.35 F,Ace, TX,0
32432,34.52 F,Acequia, ID,123
5719,50.98 F,Achille, OK,493
8556,48.32 F,Achilles, VA,0
7628,49.12 F,Ackerly, TX,122
6456,50.10 F,Ackerman, MS,"1,816"
28300,37.07 F,Ackermanville, PA,687
29452,36.43 F,Ackley, IA,"1,546"
24189,39.48 F,Ackworth, IA,39
3118,54.64 F,Acme, LA,0
16618,42.83 F,Acme, WA,310
23777,39.70 F,Acme, PA,0
29371,36.47 F,Acme, MI,0
32700,34.37 F,Acomita Lake, NM,377
25464,38.66 F,Acosta, PA,0
30818,35.53 F,Acra, NY,0
28709,36.86 F,Acres Green, CO,"3,035"
8193,48.66 F,Acton, CA,"6,956"
30223,35.94 F,Acton, MA,0
34418,32.71 F,Acton, MT,0
34436,32.67 F,Acton, ME,0
21013,40.87 F,Acushnet, MA,0
21009,40.87 F,Acushnet Center, MA,"2,786"
8167,48.69 F,Acworth, GA,"21,169"
33436,33.83 F,Acworth, NH,0
7468,49.24 F,Ada, OK,"17,061"
20622,41.00 F,Ada, OH,"6,112"
21020,40.87 F,Ada, KS,53
27942,37.25 F,Ada, MI,0
35924,30.58 F,Ada, MN,"1,702"
21324,40.76 F,Adah, PA,0
8700,48.19 F,Adair, OK,738
20928,40.90 F,Adair, IL,214
27072,37.79 F,Adair, IA,890
20601,41.00 F,Adair Village, OR,881
9369,47.52 F,Adairsville, GA,"4,692"
10933,46.08 F,Adairville, KY,"1,150"
35595,31.07 F,Adamant, VT,0
10863,46.14 F,Adams, TN,836
19018,41.72 F,Adams, OK,0
20114,41.18 F,Adams, OR,356
20278,41.13 F,Adams, KY,0
23003,40.07 F,Adams, NE,560
30277,35.90 F,Adams, MA,"5,460"
31410,35.16 F,Adams, NY,"1,612"
31858,34.88 F,Adams, MN,717
33493,33.77 F,Adams, WI,"1,570"
37038,28.40 F,Adams, ND,138
24157,39.49 F,Adams Basin, NY,0
32640,34.40 F,Adams Center, NY,"1,996"
4249,52.89 F,Adams Run, SC,0
24115,39.51 F,Adamsburg, PA,259
16982,42.66 F,Adamstown, MD,"2,628"
18755,41.84 F,Adamstown, PA,"1,733"
7984,48.87 F,Adamsville, TN,"1,909"
8072,48.79 F,Adamsville, AL,"4,472"
20656,40.99 F,Adamsville, RI,0
23664,39.76 F,Adamsville, OH,126
27110,37.76 F,Adamsville, PA,62
12276,45.11 F,Addieville, IL,280
7018,49.66 F,Addington, OK,110
1958,57.29 F,Addis, LA,"4,004"
3875,53.39 F,Addison, TX,"14,594"
7530,49.19 F,Addison, AL,913
21265,40.78 F,Addison, WV,"1,133"
25481,38.66 F,Addison, PA,198
26322,38.21 F,Addison, IL,"37,215"
27048,37.81 F,Addison, MI,650
32213,34.67 F,Addison, NY,"1,809"
32741,34.35 F,Addison, ME,0
31806,34.91 F,Addy, WA,86
16108,43.06 F,Addyston, OH,970
2970,54.81 F,Adel, GA,"5,294"
26231,38.25 F,Adel, IA,"3,940"
34491,32.58 F,Adel, OR,0
11311,45.77 F,Adelanto, CA,"31,773"
28292,37.08 F,Adeline, IL,72
20828,40.94 F,Adelino, NM,809
29049,36.67 F,Adell, WI,465
12408,45.02 F,Adelphi, MD,"15,885"
18114,42.10 F,Adelphi, OH,399
17227,42.53 F,Adelphia, NJ,0
21635,40.64 F,Adena, OH,689
7747,49.04 F,Adger, AL,0
34201,32.95 F,Adin, CA,215
35591,31.07 F,Adirondack, NY,0
1951,57.33 F,Adkins, TX,0
15540,43.31 F,Admire, KS,120
18553,41.93 F,Adna, WA,0
36690,29.34 F,Adolph, MN,0
10003,46.95 F,Adolphus, KY,0
8060,48.80 F,Adona, AR,114
3947,53.29 F,Adrian, GA,532
13072,44.64 F,Adrian, MO,"2,098"
19193,41.62 F,Adrian, TX,218
21967,40.51 F,Adrian, WV,0
26698,38.02 F,Adrian, MI,"21,008"
27581,37.45 F,Adrian, OR,163
28555,36.94 F,Adrian, PA,0
33308,33.96 F,Adrian, MN,"1,239"
13217,44.55 F,Advance, NC,"1,145"
14732,43.72 F,Advance, MO,"1,465"
19641,41.42 F,Advance, IN,488
29199,36.59 F,Advance, MI,269
19872,41.31 F,Advent, WV,0
22449,40.34 F,Adwolf, VA,"1,630"
30022,36.07 F,Aetna Estates, CO,"1,031"
11913,45.35 F,Affton, MO,"21,358"
9438,47.45 F,Afton, TX,0
9619,47.28 F,Afton, OK,930
13220,44.55 F,Afton, TN,0
19573,41.46 F,Afton, VA,0
25532,38.64 F,Afton, IA,917
28504,36.97 F,Afton, WI,0
29531,36.38 F,Afton, MN,"2,912"
31359,35.18 F,Afton, NY,"1,082"
33459,33.79 F,Afton, MI,0
37607,25.98 F,Afton, WY,"2,065"
33554,33.72 F,Agar, SD,58
31515,35.09 F,Agate, CO,0
37582,26.18 F,Agate, ND,0
32496,34.48 F,Agawam, MA,"28,599"
32518,34.47 F,Agawam Town, MA,"28,626"
17902,42.20 F,Agency, MO,840
23999,39.57 F,Agency, IA,694
34023,33.15 F,Agency Village, SD,150
19505,41.49 F,Agenda, KS,87
16274,42.98 F,Ages Brookside, KY,0
13732,44.29 F,Agness, OR,0
6694,49.89 F,Agoura Hills, CA,"20,630"
8739,48.16 F,Agra, OK,314
25896,38.43 F,Agra, KS,268
1052,60.99 F,Agua Dulce, TX,722
8148,48.71 F,Agua Dulce, CA,"2,898"
8345,48.52 F,Agua Dulce CDP, TX,"2,926"
30154,35.99 F,Agua Fria, NM,"3,255"
7743,49.04 F,Aguanga, CA,897
6565,50.00 F,Aguila, AZ,901
31969,34.82 F,Aguilar, CO,563
1240,60.35 F,Aguilares, TX,50
36718,29.28 F,Ah Gwah Ching, MN,0
34612,32.40 F,Ahmeek, MI,128
9552,47.34 F,Ahoskie, NC,"5,017"
33019,34.16 F,Ahsahka, ID,0
26966,37.86 F,Ahtanum, WA,"3,785"
181,66.23 F,Ahuimanu, HI,"8,728"
19354,41.55 F,Ahwahnee, CA,"2,165"
305,64.98 F,Aiea, HI,"9,181"
6591,49.98 F,Aiken, SC,"29,980"
15880,43.17 F,Aiken, TX,0
3884,53.38 F,Ailey, GA,595
3662,53.77 F,Aimwell, LA,0
1124,60.68 F,Ainaloa, HI,"3,645"
22228,40.43 F,Ainsworth, IA,589
30100,36.03 F,Ainsworth, NE,"1,786"
34630,32.38 F,Air Force Academy, CO,"6,046"
22923,40.10 F,Airmont, NY,"8,770"
7916,48.94 F,Airport, CA,"1,547"
10807,46.20 F,Airport Drive, MO,835
581,63.04 F,Airport Heights, TX,95
1088,60.81 F,Airport Road Addition, TX,67
15269,43.42 F,Airville, PA,0
31254,35.25 F,Airway Heights, WA,"6,356"
36390,29.99 F,Aitkin, MN,"2,351"
2167,56.86 F,Ajo, AZ,"3,787"
2277,56.49 F,Ak Chin, AZ,25
2296,56.43 F,Ak-Chin Village, AZ,"1,195"
34335,32.82 F,Akaska, SD,35
36844,28.97 F,Akeley, MN,376
2552,55.67 F,Akers, LA,0
33666,33.57 F,Akhiok, AK,103
37781,22.81 F,Akiachak, AK,590
37766,23.04 F,Akiak, AK,407
7337,49.33 F,Akins, OK,481
5289,51.49 F,Akron, AL,302
17287,42.49 F,Akron, PA,"3,923"
22549,40.29 F,Akron, OH,"198,492"
23725,39.73 F,Akron, IN,"1,337"
24433,39.33 F,Akron, NY,"2,850"
26005,38.36 F,Akron, MI,397
30203,35.95 F,Akron, IA,"1,364"
31506,35.10 F,Akron, CO,"1,906"
6113,50.41 F,Alabaster, AL,"30,978"
1987,57.25 F,Alachua, FL,"9,291"
36367,30.02 F,Aladdin, WY,0
998,61.30 F,Alafaya, FL,"85,561"
37831,21.53 F,Alakanuk, AK,733
9680,47.23 F,Alamance, NC,786
7311,49.37 F,Alameda, CA,"75,763"
28023,37.21 F,Alamillo, NM,162
386,63.70 F,Alamo, TX,"18,907"
4128,53.05 F,Alamo, GA,"4,701"
7188,49.47 F,Alamo, TN,"2,423"
8655,48.24 F,Alamo, CA,"15,639"
20291,41.12 F,Alamo, IN,59
21428,40.71 F,Alamo, NV,939
31283,35.23 F,Alamo, NM,707
37039,28.40 F,Alamo, ND,62
1915,57.41 F,Alamo Heights, TX,"7,397"
4322,52.77 F,Alamo Lake, AZ,22
20863,40.92 F,Alamogordo, NM,"31,224"
37651,25.38 F,Alamosa, CO,"9,427"
37538,26.49 F,Alamosa East, CO,"1,671"
13993,44.12 F,Alanreed, TX,0
30555,35.69 F,Alanson, MI,585
3269,54.34 F,Alapaha, GA,684
37977,13.49 F,Alatna, AK,2
4496,52.49 F,Alba, TX,801
10760,46.24 F,Alba, MO,561
29868,36.17 F,Alba, MI,318
30851,35.50 F,Alba, PA,103
2794,55.11 F,Albany, LA,"1,545"
3763,53.58 F,Albany, GA,"76,946"
5155,51.66 F,Albany, TX,"2,307"
5867,50.73 F,Albany, OK,115
9847,47.09 F,Albany, CA,"19,020"
11686,45.47 F,Albany, KY,"1,743"
20363,41.10 F,Albany, OR,"51,210"
21748,40.60 F,Albany, IN,"1,849"
22185,40.44 F,Albany, MO,"2,125"
22987,40.07 F,Albany, OH,"1,202"
25952,38.40 F,Albany, IL,"1,047"
27853,37.29 F,Albany, NY,"98,287"
29347,36.49 F,Albany, WI,"1,167"
34215,32.93 F,Albany, MN,"2,599"
35324,31.37 F,Albany, VT,204
37272,27.69 F,Albany, WY,40
34290,32.86 F,Albee, SD,7
9589,47.30 F,Albemarle, NC,"15,924"
11790,45.41 F,Albers, IL,"1,163"
8939,47.92 F,Albert, OK,0
20035,41.22 F,Albert, KS,158
30141,36.00 F,Albert City, IA,672
31347,35.19 F,Albert Lea, MN,"17,931"
4605,52.37 F,Alberta, AL,0
12425,45.01 F,Alberta, VA,279
34431,32.68 F,Alberta, MN,104
32901,34.25 F,Alberton, MT,476
6781,49.83 F,Albertson, NC,0
13332,44.49 F,Albertson, NY,"5,154"
7257,49.41 F,Albertville, AL,"21,363"
34150,33.01 F,Albertville, MN,"7,159"
23605,39.79 F,Albia, IA,"3,788"
33830,33.37 F,Albin, WY,180
6352,50.19 F,Albion, OK,83
13012,44.67 F,Albion, IL,"2,139"
15988,43.12 F,Albion, CA,295
23928,39.62 F,Albion, IN,"2,347"
24410,39.34 F,Albion, NY,"5,799"
26050,38.33 F,Albion, RI,0
26213,38.26 F,Albion, PA,"1,526"
26899,37.90 F,Albion, MI,"8,416"
28319,37.06 F,Albion, IA,430
29058,36.67 F,Albion, WA,546
29945,36.12 F,Albion, NE,"1,721"
32243,34.65 F,Albion, ID,210
34036,33.13 F,Albion, ME,0
37376,27.35 F,Alborn, MN,0
21937,40.52 F,Albright, WV,295
30211,35.95 F,Albrightsville, PA,154
18916,41.77 F,Albuquerque, NM,"553,576"
31107,35.35 F,Alburg, VT,497
31101,35.35 F,Alburgh, VT,0
28287,37.08 F,Alburnett, IA,612
21025,40.86 F,Alburtis, PA,"2,372"
34451,32.65 F,Alcalde, NM,300
37987,12.62 F,Alcan Border, AK,33
31088,35.36 F,Alcester, SD,785
10164,46.78 F,Alcoa, TN,"8,556"
5642,51.08 F,Alcolu, SC,596
3296,54.30 F,Alcorn State University, MS,703
34834,32.05 F,Alcova, WY,76
30009,36.08 F,Alcove, NY,0
25591,38.60 F,Alda, NE,635
18593,41.92 F,Aldan, PA,"4,164"
15461,43.33 F,Alden, KS,108
24427,39.33 F,Alden, NY,"2,606"
27718,37.37 F,Alden, MI,135
28462,36.99 F,Alden, IL,0
29190,36.59 F,Alden, IA,756
31438,35.15 F,Alden, MN,626
17848,42.22 F,Alder, WA,133
37054,28.36 F,Alder, MT,109
34423,32.70 F,Alder Creek, NY,0
16239,43.00 F,Alderpoint, CA,255
6265,50.26 F,Alderson, OK,300
22740,40.21 F,Alderson, WV,990
16044,43.09 F,Alderton, WA,"2,937"
15001,43.57 F,Alderwood Manor, WA,"8,628"
17152,42.57 F,Aldie, VA,0
1755,57.85 F,Aldine, TX,"15,375"
6028,50.50 F,Aldora, GA,93
12491,44.99 F,Aldrich, MO,75
36016,30.46 F,Aldrich, MN,73
3735,53.65 F,Aledo, TX,"2,866"
20096,41.19 F,Aledo, IL,"3,724"
37392,27.29 F,Aleknagik, AK,231
33128,34.09 F,Aleneva, AK,63
18766,41.84 F,Aleppo, PA,0
7596,49.14 F,Alex, OK,547
5709,50.99 F,Alexander, AR,"2,880"
13577,44.36 F,Alexander, NC,0
18603,41.91 F,Alexander, IL,0
22274,40.41 F,Alexander, KS,34
24419,39.34 F,Alexander, NY,528
30804,35.53 F,Alexander, IA,190
36455,29.86 F,Alexander, ND,272
7089,49.59 F,Alexander City, AL,"14,815"
2472,55.89 F,Alexandria, LA,"47,983"
6495,50.07 F,Alexandria, AL,"3,947"
9165,47.66 F,Alexandria, TN,"1,184"
12339,45.07 F,Alexandria, VA,"146,422"
14664,43.76 F,Alexandria, KY,"8,654"
17781,42.25 F,Alexandria, MO,136
22416,40.35 F,Alexandria, IN,"5,100"
23586,39.80 F,Alexandria, NE,162
24761,39.13 F,Alexandria, OH,572
28609,36.92 F,Alexandria, PA,401
31408,35.16 F,Alexandria, SD,740
34999,31.84 F,Alexandria, MN,"11,465"
32089,34.74 F,Alexandria Bay, NY,"1,001"
9101,47.73 F,Alexis, NC,0
20126,41.18 F,Alexis, IL,862
25449,38.67 F,Alfarata, PA,199
3277,54.33 F,Alford, FL,487
13169,44.59 F,Alfordsville, IN,84
1203,60.48 F,Alfred, TX,128
30839,35.50 F,Alfred, NY,"4,278"
33249,34.01 F,Alfred, ME,666
30847,35.50 F,Alfred Station, NY,0
15869,43.17 F,Alger, WA,164
19924,41.28 F,Alger, OH,910
34467,32.62 F,Alger, MI,0
26385,38.17 F,Algodones, NM,896
7231,49.43 F,Algoma, MS,606
29704,36.26 F,Algoma, WI,"3,152"
13048,44.65 F,Algona, WA,"3,090"
30464,35.75 F,Algona, IA,"5,513"
24582,39.27 F,Algonac, MI,"4,065"
10622,46.33 F,Algonquin, MD,"1,561"
26942,37.88 F,Algonquin, IL,"30,189"
11210,45.85 F,Algood, TN,"3,538"
3660,53.77 F,Alhambra, CA,"84,400"
14526,43.83 F,Alhambra, IL,675
9726,47.21 F,Alhambra Valley, CA,499
2559,55.65 F,Ali Chuk, AZ,119
3160,54.56 F,Ali Chukson, AZ,107
3709,53.70 F,Ali Molina, AZ,142
1208,60.48 F,Alice, TX,"19,358"
36421,29.94 F,Alice, ND,35
1156,60.55 F,Alice Acres, TX,354
5493,51.26 F,Aliceville, AL,"3,892"
10350,46.62 F,Alicia, AR,153
1426,59.64 F,Alief, TX,0
11128,45.93 F,Aline, OK,234
21500,40.69 F,Aliquippa, PA,"9,356"
3517,53.94 F,Aliso Viejo, CA,"49,437"
8809,48.07 F,Alix, AR,0
16701,42.80 F,Alkol, WV,0
37976,13.49 F,Allakaket, AK,72
28179,37.13 F,Allamuchy, NJ,100
12599,44.92 F,Allardt, TN,558
21314,40.76 F,Alledonia, OH,0
7032,49.64 F,Alleene, AR,0
25028,38.95 F,Allegan, MI,"5,030"
14233,43.98 F,Allegany, OR,0
33214,34.04 F,Allegany, NY,"1,868"
20301,41.12 F,Alleghany, CA,115
18378,42.01 F,Alleghenyville, PA,"1,199"
26763,37.98 F,Alleman, IA,592
4091,53.10 F,Allen, TX,"89,845"
7181,49.48 F,Allen, OK,990
10243,46.70 F,Allen, MD,88
15727,43.24 F,Allen, KS,333
16159,43.04 F,Allen, KY,0
25544,38.63 F,Allen, MI,227
28839,36.78 F,Allen, NE,316
33096,34.11 F,Allen, SD,655
16181,43.03 F,Allen City, KY,180
19356,41.55 F,Allen Junction, WV,0
22579,40.28 F,Allen Park, MI,"27,869"
5410,51.35 F,Allendale, SC,"3,328"
10274,46.69 F,Allendale, CA,"1,613"
13361,44.48 F,Allendale, IL,633
23379,39.90 F,Allendale, NJ,"6,666"
23867,39.64 F,Allendale, MO,94
26527,38.10 F,Allendale, MI,"18,393"
2641,55.42 F,Allenhurst, GA,555
13831,44.23 F,Allenhurst, NJ,486
27241,37.67 F,Allenport, PA,592
20704,40.97 F,Allenport borough, PA,461
37626,25.68 F,Allenspark, CO,632
10424,46.54 F,Allensville, KY,143
27315,37.62 F,Allensville, PA,452
6371,50.18 F,Allensworth, CA,480
27965,37.23 F,Allenton, MI,0
29423,36.44 F,Allenton, WI,928
3293,54.31 F,Allentown, FL,990
4436,52.60 F,Allentown, GA,242
19362,41.55 F,Allentown, NJ,"1,828"
22088,40.47 F,Allentown, PA,"118,793"
33486,33.77 F,Allentown, NY,0
12403,45.03 F,Allenville, MO,76
16278,42.98 F,Allenville, IL,130
15205,43.46 F,Allenwood, NJ,"1,022"
27035,37.82 F,Allenwood, PA,513
20648,40.99 F,Allerton, IL,244
25208,38.81 F,Allerton, IA,474
1829,57.58 F,Alleyton, TX,0
7783,49.01 F,Allgood, AL,607
5068,51.75 F,Alliance, NC,802
22520,40.31 F,Alliance, OH,"22,196"
33611,33.65 F,Alliance, NE,"8,501"
5017,51.80 F,Alligator, MS,382
13356,44.48 F,Allison, TX,0
19697,41.40 F,Allison, PA,564
29672,36.28 F,Allison, IA,"1,184"
21282,40.77 F,Allison Park, PA,"20,867"
22150,40.45 F,Allisonia, VA,156
11190,45.87 F,Allons, TN,0
33538,33.73 F,Allouez, WI,"13,948"
34624,32.38 F,Allouez, MI,0
13033,44.66 F,Alloway, NJ,"1,710"
15451,43.34 F,Alloy, WV,0
4664,52.29 F,Allport, AR,228
29148,36.63 F,Allport, PA,367
11475,45.65 F,Allred, TN,0
25234,38.79 F,Allston, MA,0
16785,42.76 F,Allyn, WA,"2,098"
3197,54.47 F,Alma, TX,412
3341,54.24 F,Alma, GA,"3,514"
8475,48.40 F,Alma, AR,"5,514"
13756,44.27 F,Alma, IL,382
16346,42.95 F,Alma, MO,375
17329,42.48 F,Alma, KS,826
21247,40.78 F,Alma, WV,0
26792,37.96 F,Alma, NE,"1,159"
29537,36.38 F,Alma, MI,"9,289"
32062,34.76 F,Alma, WI,766
33729,33.49 F,Alma, NY,0
37829,21.59 F,Alma, CO,348
34269,32.88 F,Alma Center, WI,518
34601,32.42 F,Almanor, CA,10
27520,37.49 F,Almedia, PA,"1,014"
35316,31.38 F,Almelund, MN,0
27309,37.63 F,Almena, KS,524
34484,32.60 F,Almena, WI,688
26169,38.28 F,Almira, WA,254
9451,47.43 F,Almo, KY,0
32336,34.59 F,Almo, ID,0
12574,44.94 F,Almond, NC,0
30704,35.60 F,Almond, NY,535
33007,34.17 F,Almond, WI,452
27721,37.37 F,Almont, MI,"2,670"
36419,29.94 F,Almont, ND,122
37847,20.94 F,Almont, CO,0
4882,51.95 F,Almyra, AR,336
30798,35.54 F,Alna, ME,0
17129,42.58 F,Aloha, OR,"52,902"
3035,54.74 F,Alondra Park, CA,"8,833"
11206,45.85 F,Alorton, IL,"1,729"
6398,50.16 F,Alpaugh, CA,969
11642,45.50 F,Alpena, AR,436
33031,34.15 F,Alpena, SD,296
33379,33.89 F,Alpena, MI,"10,336"
12150,45.19 F,Alpha, KY,0
19801,41.34 F,Alpha, OH,0
20947,40.89 F,Alpha, IL,595
22801,40.17 F,Alpha, NJ,"2,320"
31710,34.97 F,Alpha, MN,252
36837,28.98 F,Alpha, MI,83
8542,48.34 F,Alpharetta, GA,"60,903"
6167,50.35 F,Alpine, AL,0
8068,48.79 F,Alpine, AR,0
8834,48.04 F,Alpine, CA,"14,580"
10837,46.17 F,Alpine, TX,"6,026"
12235,45.14 F,Alpine, TN,0
18641,41.89 F,Alpine, NJ,"1,710"
20821,40.94 F,Alpine, UT,"9,856"
21354,40.75 F,Alpine, OR,136
26929,37.88 F,Alpine, NY,0
35128,31.64 F,Alpine, AZ,127
36948,28.69 F,Alpine, WY,744
37758,23.16 F,Alpine, CO,137
37160,28.06 F,Alpine Northeast, WY,10
36944,28.70 F,Alpine Northwest, WY,295
34597,32.43 F,Alpine Village, CA,105
29594,36.33 F,Alplaus, NY,0
20680,40.98 F,Alsace Manor, PA,285
20234,41.14 F,Alsea, OR,142
37480,26.89 F,Alsen, ND,55
17963,42.17 F,Alsey, IL,264
21591,40.66 F,Alsip, IL,"19,385"
33695,33.53 F,Alstead, NH,0
3893,53.37 F,Alston, GA,157
17019,42.64 F,Alta, CA,369
21417,40.72 F,Alta, UT,342
29895,36.15 F,Alta, IA,"1,919"
37285,27.65 F,Alta, WY,390
13828,44.23 F,Alta Sierra, CA,"6,902"
16587,42.84 F,Alta Vista, KS,474
31113,35.35 F,Alta Vista, IA,293
4577,52.41 F,Altadena, CA,"44,622"
1653,58.41 F,Altair, TX,0
9727,47.21 F,Altamahaw, NC,376
10222,46.72 F,Altamont, TN,"1,070"
11697,45.47 F,Altamont, KS,"1,099"
16306,42.97 F,Altamont, IL,"2,257"
20443,41.07 F,Altamont, MO,200
23259,39.97 F,Altamont, PA,710
30300,35.88 F,Altamont, NY,"1,609"
34534,32.50 F,Altamont, SD,41
35113,31.68 F,Altamont, OR,"19,278"
36549,29.63 F,Altamont, UT,284
1011,61.26 F,Altamonte Springs, FL,"41,889"
10388,46.58 F,Altaville, CA,0
12515,44.97 F,Altavista, VA,"3,456"
12226,45.15 F,Altenburg, MO,466
3200,54.46 F,Altha, FL,619
5194,51.61 F,Altheimer, AR,"1,012"
30781,35.55 F,Altmar, NY,372
2820,55.04 F,Alto, TX,"1,323"
10374,46.59 F,Alto, CA,678
11478,45.65 F,Alto, GA,"1,103"
27539,37.47 F,Alto, MI,0
27556,37.46 F,Alto, NM,0
516,63.26 F,Alto Bonito Heights, TX,415
11641,45.50 F,Alto Pass, IL,486
546,63.10 F,Alton, TX,"14,735"
6312,50.22 F,Alton, AL,0
12640,44.90 F,Alton, VA,0
13869,44.21 F,Alton, MO,"1,173"
14487,43.86 F,Alton, IL,"27,517"
14755,43.70 F,Alton, IN,40
24458,39.32 F,Alton, NY,0
24813,39.10 F,Alton, KS,133
31286,35.22 F,Alton, IA,"1,190"
34830,32.06 F,Alton, NH,397
35432,31.23 F,Alton, UT,115
34907,31.95 F,Alton Bay, NH,0
20961,40.89 F,Altona, IL,482
24731,39.16 F,Altona, IN,255
32129,34.72 F,Altona, NY,832
37158,28.06 F,Altona, CO,544
36728,29.26 F,Altonah, UT,0
1363,59.87 F,Altoona, FL,103
7334,49.34 F,Altoona, AL,764
11908,45.35 F,Altoona, KS,390
16385,42.94 F,Altoona, WA,40
25294,38.76 F,Altoona, IA,"15,317"
28367,37.04 F,Altoona, PA,"45,987"
33854,33.34 F,Altoona, WI,"6,940"
31214,35.28 F,Altura, MN,467
805,62.35 F,Alturas, FL,"3,948"
34289,32.86 F,Alturas, CA,"2,714"
8605,48.28 F,Altus, OK,"19,716"
8842,48.04 F,Altus, AR,843
8587,48.29 F,Altus Afb, OK,0
27933,37.25 F,Alum Bank, PA,0
22024,40.49 F,Alum Bridge, WV,0
16872,42.72 F,Alum Creek, WV,"1,832"
7363,49.32 F,Alum Rock, CA,"10,992"
846,62.12 F,Alva, FL,"2,040"
13860,44.21 F,Alva, OK,"4,990"
36010,30.47 F,Alva, WY,0
21795,40.58 F,Alvada, OH,0
19029,41.72 F,Alvadore, OR,0
21244,40.78 F,Alvan Village, IL,255
3018,54.76 F,Alvarado, TX,"3,832"
36946,28.69 F,Alvarado, MN,437
11527,45.61 F,Alvaton, KY,0
27198,37.69 F,Alverda, PA,0
23647,39.77 F,Alverton, PA,0
1246,60.31 F,Alvin, TX,"24,938"
21233,40.78 F,Alvin, IL,316
5973,50.58 F,Alviso, CA,0
24350,39.37 F,Alvo, NE,155
5411,51.35 F,Alvord, TX,"1,523"
31173,35.31 F,Alvord, IA,236
26405,38.16 F,Alvordton, OH,195
35277,31.44 F,Alzada, MT,37
1630,58.54 F,Ama, LA,"1,362"
565,63.05 F,Amada Acres, TX,115
6071,50.45 F,Amado, AZ,166
8861,48.00 F,Amador City, CA,164
17874,42.21 F,Amagansett, NY,"1,355"
7106,49.57 F,Amagon, AR,91
33664,33.58 F,Amalga, UT,527
37539,26.48 F,Amalia, NM,0
26547,38.09 F,Amana, IA,334
18695,41.86 F,Amanda, OH,670
20065,41.20 F,Amanda Park, WA,175
1256,60.25 F,Amargosa Colonia, TX,5
13801,44.25 F,Amargosa Valley, NV,0
17484,42.41 F,Amarillo, TX,"194,930"
36710,29.29 F,Amasa, MI,351
21312,40.76 F,Amawalk, NY,0
1682,58.23 F,Amaya Colonia, TX,31
20542,41.02 F,Amazonia, MO,270
7969,48.88 F,Amber, OK,352
36427,29.92 F,Amberg, WI,172
14577,43.80 F,Amberley, OH,"3,585"
23113,40.02 F,Amberson, PA,0
21798,40.58 F,Ambia, IN,256
19418,41.53 F,Ambler, PA,"6,481"
37974,13.50 F,Ambler, AK,329
4705,52.21 F,Amboy, CA,0
17685,42.31 F,Amboy, WA,"1,558"
22141,40.46 F,Amboy, IN,348
27163,37.71 F,Amboy, IL,"2,319"
31581,35.05 F,Amboy, MN,499
19701,41.40 F,Ambridge, PA,"6,973"
3309,54.29 F,Ambrose, GA,502
37162,28.05 F,Ambrose, ND,26
1638,58.52 F,Amelia, LA,"2,290"
14935,43.62 F,Amelia, OH,"5,323"
29456,36.43 F,Amelia, NE,0
