Rank,Crime Index,City,State,Population
2761,"1,685",Strafford, MO,"2,247"
2762,"1,683",Chapmanville, WV,"1,242"
2763,"1,683",Gustine, CA,"5,610"
2764,"1,682",Charlevoix, MI,"2,527"
2765,"1,682",Revere, MA,"53,258"
2766,"1,682",Ashdown, AR,"4,611"
2767,"1,681",Lynchburg, VA,"77,626"
2768,"1,681",Altus, OK,"19,716"
2769,"1,681",Bethel, NC,"1,834"
2770,"1,680",Colonial Heights, VA,"17,542"
2771,"1,680",Azle, TX,"10,744"
2772,"1,680",Mason City, IA,"27,775"
2773,"1,680",Augusta, KS,"9,239"
2774,"1,680",Woodlake, CA,"7,452"
2775,"1,680",Southgate, MI,"29,710"
2776,"1,679",Ogdensburg, NY,"11,029"
2777,"1,679",Hawaiian Gardens, CA,"14,432"
2778,"1,678",Rothbury, MI,346
2779,"1,677",New Richmond, OH,"2,606"
2780,"1,677",Bradenton Beach, FL,"1,142"
2781,"1,677",Miami Springs, FL,"14,255"
2782,"1,676",Odenville, AL,"3,641"
2783,"1,676",Ferndale, MI,"20,102"
2784,"1,676",Fort Madison, IA,"10,929"
2785,"1,675",Newark, DE,"32,278"
2786,"1,675",Groves, TX,"15,911"
2787,"1,675",Caldwell, ID,"48,114"
2788,"1,675",Kiowa, CO,915
2789,"1,674",Sugar Mountain, NC,508
2790,"1,674",Claycomo, MO,"1,345"
2791,"1,674",Abbeville, AL,"2,654"
2792,"1,673",Chubbuck, ID,"14,117"
2793,"1,672",Oak Park Heights, MN,"4,671"
2794,"1,672",Eatonton, GA,"6,489"
2795,"1,672",Tomah, WI,"9,281"
2796,"1,672",Boyd, TX,"1,601"
2797,"1,672",Saint Albans, WV,"10,939"
2798,"1,670",Whitehall, MI,"2,694"
2799,"1,670",Neosho, MO,"12,038"
2800,"1,669",Fayetteville, IL,441
2801,"1,669",Mcbee, SC,696
2802,"1,669",Egg Harbor City, NJ,"4,253"
2803,"1,669",Ludowici, GA,"2,563"
2804,"1,668",Winfield, KS,"12,324"
2805,"1,667",Decherd, TN,"2,424"
2806,"1,667",Pontiac, IL,"12,012"
2807,"1,667",Twin Falls, ID,"45,362"
2808,"1,666",Placerville, CA,"10,415"
2809,"1,666",Janesville, WI,"63,674"
2810,"1,666",Ranburne, AL,449
2811,"1,666",Newark, NY,"9,019"
2812,"1,666",Lincolnton, GA,"1,559"
2813,"1,665",Ham Lake, MN,"15,565"
2814,"1,665",Blythe, CA,"20,101"
2815,"1,665",Brighton, CO,"35,004"
2816,"1,665",Haysville, KS,"11,235"
2817,"1,664",Katy, TX,"15,071"
2818,"1,664",North Bonneville, WA,"1,141"
2819,"1,664",Hanford, CA,"54,523"
2820,"1,663",Haw River, NC,"2,380"
2821,"1,663",Fulton, MO,"12,791"
2822,"1,663",Hohenwald, TN,"3,716"
2823,"1,663",Monett, MO,"8,935"
2824,"1,662",Powell, WY,"6,365"
2825,"1,662",Washington Court House, OH,"14,123"
2826,"1,662",Lincoln, IL,"14,382"
2827,"1,661",Old Orchard Beach, ME,"8,679"
2828,"1,661",Morganton, NC,"16,816"
2829,"1,661",Coats, NC,"2,405"
2830,"1,661",Huron, SD,"12,982"
2831,"1,661",Middlesex, NC,"1,084"
2832,"1,661",Iron River, MI,"2,979"
2833,"1,660",Bedford, TX,"48,104"
2834,"1,660",Banner Elk, NC,"1,078"
2835,"1,660",Bay Head, NJ,997
2836,"1,660",Soddy Daisy, TN,"13,109"
2837,"1,659",Mount Pleasant, TX,"16,066"
2838,"1,659",Rockaway Beach, OR,"1,197"
2839,"1,659",Du Bois, PA,"7,718"
2840,"1,659",Vienna, GA,"3,880"
2841,"1,658",Winter Park, FL,"28,771"
2842,"1,658",Coraopolis, PA,"5,655"
2843,"1,658",Leland, MS,"4,373"
2844,"1,657",Treasure Island, FL,"6,749"
2845,"1,657",Airway Heights, WA,"6,356"
2846,"1,656",Tooele, UT,"32,164"
2847,"1,656",Watchung, NJ,"5,855"
2848,"1,656",Bayfield, WI,550
2849,"1,656",Beech Grove, IN,"14,301"
2850,"1,656",Powder Springs, GA,"14,271"
2851,"1,656",Meeker, OK,"1,135"
2852,"1,656",Moscow, TN,584
2853,"1,655",Union Springs, AL,"3,903"
2854,"1,655",Campbell, OH,"8,127"
2855,"1,655",San Diego, CA,"1,341,510"
2856,"1,654",Radcliff, KY,"22,939"
2857,"1,654",Rio Grande City, TX,"14,033"
2858,"1,654",Patterson, CA,"20,736"
2859,"1,654",Dalton, GA,"33,336"
2860,"1,653",Everett, MA,"42,758"
2861,"1,653",Stamford, TX,"3,033"
2862,"1,652",Gordo, AL,"1,504"
2863,"1,652",Fairlawn, OH,"7,430"
2864,"1,652",Leadwood, MO,"1,557"
2865,"1,652",Imperial Beach, CA,"26,857"
2866,"1,652",San Diego, TX,"4,813"
2867,"1,651",Jonestown, TX,"2,115"
2868,"1,651",Red Oak, IA,"5,644"
2869,"1,651",Madison, WI,"239,848"
2870,"1,651",Coeburn, VA,"2,309"
2871,"1,650",San Rafael, CA,"58,588"
2872,"1,648",Santa Barbara, CA,"89,669"
2873,"1,648",Grifton, NC,"2,608"
2874,"1,647",Huntsville, TX,"39,764"
2875,"1,647",Point Marion, PA,"1,020"
2876,"1,647",Cameron, TX,"5,445"
2877,"1,647",Heflin, AL,"3,497"
2878,"1,646",Highspire, PA,"2,438"
2879,"1,645",Greenwood Village, CO,"14,546"
2880,"1,645",Lompoc, CA,"43,045"
2881,"1,645",Tillamook, OR,"4,957"
2882,"1,645",Palmetto Bay, FL,"24,214"
2883,"1,645",Dunbar, WV,"7,844"
2884,"1,645",Lampasas, TX,"6,885"
2885,"1,644",Whitesburg, GA,592
2886,"1,644",Frankston, TX,"1,106"
2887,"1,644",Lexington, TX,"1,551"
2888,"1,644",Middleton, TN,605
2889,"1,643",Carthage, TX,"6,835"
2890,"1,642",Dewey, OK,"3,476"
2891,"1,641",South Fulton, TN,"2,352"
2892,"1,641",Mountain View, CO,564
2893,"1,641",Clintonville, WI,"4,516"
2894,"1,641",Martinsville, VA,"13,745"
2895,"1,641",Mills, WY,"3,545"
2896,"1,641",Cadiz, KY,"2,633"
2897,"1,640",Hampton, VA,"136,904"
2898,"1,639",Fulton, NY,"11,786"
2899,"1,638",Woodburn, OR,"24,282"
2900,"1,637",Brevard, NC,"7,651"
2901,"1,637",Grayling, MI,"1,798"
2902,"1,636",Auburn, AL,"56,986"
2903,"1,636",Port Townsend, WA,"9,168"
2904,"1,636",Somerville, TX,"1,430"
2905,"1,636",Youngtown, AZ,"6,299"
2906,"1,636",Lackawanna, NY,"18,037"
2907,"1,634",Albany, CA,"19,020"
2908,"1,634",Jonesville, MI,"2,226"
2909,"1,633",Thornton, CO,"124,707"
2910,"1,633",Lake Elsinore, CA,"56,243"
2911,"1,633",Iuka, MS,"3,013"
2912,"1,633",Rice Lake, WI,"8,353"
2913,"1,632",El Segundo, CA,"16,839"
2914,"1,632",Mccormick, SC,"2,744"
2915,"1,632",Hudson Oaks, TX,"1,952"
2916,"1,631",East Bethel, MN,"11,614"
2917,"1,631",Cape May, NJ,"3,576"
2918,"1,631",Bingen, WA,888
2919,"1,631",Kingsburg, CA,"11,582"
2920,"1,630",Bath, NY,"5,747"
2921,"1,630",Ferrelview, MO,474
2922,"1,630",Peralta, NM,"3,636"
2923,"1,630",Tarentum, PA,"4,514"
2924,"1,628",Escondido, CA,"147,603"
2925,"1,628",High Springs, FL,"5,499"
2926,"1,627",South Hackensack, NJ,0
2927,"1,627",Ottawa, KS,"12,548"
2928,"1,627",Palm Bay, FL,"104,342"
2929,"1,627",Knightdale, NC,"12,692"
2930,"1,626",Gurdon, AR,"2,332"
2931,"1,626",Crestwood, IL,"11,006"
2932,"1,625",Angleton, TX,"19,034"
2933,"1,625",Snow Hill, NC,"1,878"
2934,"1,625",The Village, OK,"9,147"
2935,"1,624",Moline, IL,"43,087"
2936,"1,623",Marble Hill, MO,"1,698"
2937,"1,623",Jerseyville, IL,"8,305"
2938,"1,622",Bowdon, GA,"1,856"
2939,"1,622",Prattville, AL,"34,349"
2940,"1,621",Monongahela, PA,"4,260"
2941,"1,621",Clio, MI,"2,601"
2942,"1,620",Chocowinity, NC,966
2943,"1,619",Green Bay, WI,"104,574"
2944,"1,619",Madison, IN,"12,033"
2945,"1,618",Jasper, FL,"4,301"
2946,"1,618",Lockport, NY,"20,957"
2947,"1,618",Casper, WY,"57,815"
2948,"1,618",Whiting, IN,"4,930"
2949,"1,617",Lexington, NE,"10,189"
2950,"1,617",Fernandina Beach, FL,"11,851"
2951,"1,617",Comanche, TX,"4,269"
2952,"1,615",Bellevue, KY,"5,933"
2953,"1,615",Steger, IL,"9,569"
2954,"1,615",Russiaville, IN,"1,160"
2955,"1,615",Pierre, SD,"13,885"
2956,"1,615",Beverly, NJ,"2,573"
2957,"1,614",Arnold, MO,"21,020"
2958,"1,614",Baxter, TN,"1,533"
2959,"1,614",Davis, OK,"2,723"
2960,"1,612",Griffith, IN,"16,765"
2961,"1,612",Colmar Manor, MD,"1,737"
2962,"1,612",Midland, TX,"119,409"
2963,"1,610",Livingston, TN,"4,060"
2964,"1,610",Crisfield, MD,"2,698"
2965,"1,610",Sioux Falls, SD,"160,964"
2966,"1,609",Silverton, OH,"4,781"
2967,"1,609",Logansport, IN,"17,933"
2968,"1,608",Danville, KY,"16,471"
2969,"1,608",Chewelah, WA,"2,608"
2970,"1,607",Bertrand, MO,908
2971,"1,607",Onaway, MI,829
2972,"1,607",Hillsboro, OH,"6,570"
2973,"1,606",Daleville, AL,"5,233"
2974,"1,605",Chipley, FL,"3,581"
2975,"1,605",Galesburg, MI,"1,876"
2976,"1,605",Montevallo, AL,"6,470"
2977,"1,604",Evart, MI,"1,469"
2978,"1,604",Yucca Valley, CA,"21,083"
2979,"1,603",Upland, CA,"75,089"
2980,"1,603",Los Banos, CA,"36,626"
2981,"1,603",Fruitland Park, FL,"4,275"
2982,"1,601",Wisconsin Rapids, WI,"18,162"
2983,"1,601",Waterford, CA,"8,579"
2984,"1,601",Hinton, WV,"2,615"
2985,"1,601",Covington, WA,"18,361"
2986,"1,600",Waynesville, MO,"5,147"
2987,"1,600",Copperas Cove, TX,"33,023"
2988,"1,600",Roseville, MN,"34,554"
2989,"1,599",Upper Marlboro, MD,646
2990,"1,599",Grant, AL,823
2991,"1,599",Dover, AR,"1,499"
2992,"1,599",Catskill, NY,"3,989"
2993,"1,598",Boone, IA,"12,619"
2994,"1,598",Marvell, AR,"1,119"
2995,"1,597",Buckeye, AZ,"54,927"
2996,"1,597",Bourne, MA,"1,148"
2997,"1,597",Cottonport, LA,"2,850"
2998,"1,596",New Carrollton, MD,"12,412"
2999,"1,595",Carthage, TN,"2,042"
3000,"1,595",Defiance, OH,"16,646"
3001,"1,595",Hadley, MA,0
3002,"1,595",Southaven, MS,"50,389"
3003,"1,593",Milton Freewater, OR,"7,094"
3004,"1,593",North Bend, OR,"9,591"
3005,"1,593",Saraland, AL,"13,657"
3006,"1,593",Woodland, CA,"56,390"
3007,"1,593",Stallings, NC,"14,185"
3008,"1,592",Spooner, WI,"2,634"
3009,"1,592",Ardmore, TN,"1,182"
3010,"1,591",Mount Vernon, OH,"16,919"
3011,"1,591",Orland, CA,"7,451"
3012,"1,591",Monahans, TX,"7,204"
3013,"1,591",Duncan, SC,"3,214"
3014,"1,591",Salisbury, MA,"4,757"
3015,"1,591",Wyoming, MI,"73,434"
3016,"1,591",Chariton, IA,"4,263"
3017,"1,590",Bruceville Eddy, TX,"1,731"
3018,"1,590",Neptune Beach, FL,"6,733"
3019,"1,590",Kinder, LA,"2,746"
3020,"1,589",Campbell, CA,"40,327"
3021,"1,589",Bourbon, MO,"1,659"
3022,"1,589",El Campo, TX,"11,549"
3023,"1,588",Morton, PA,"2,670"
3024,"1,588",Salem, MO,"4,979"
3025,"1,588",Saint Bernard, OH,"4,358"
3026,"1,587",Springtown, TX,"2,710"
3027,"1,587",Slaton, TX,"6,100"
3028,"1,587",Aliceville, AL,"3,892"
3029,"1,587",Brattleboro, VT,"7,132"
3030,"1,586",Chesapeake, VA,"228,168"
3031,"1,586",Point Pleasant, WV,"4,326"
3032,"1,586",Upper Darby, PA,0
3033,"1,585",Portage, MI,"47,137"
3034,"1,584",Hastings, NE,"25,030"
3035,"1,584",Hamburg, AR,"2,846"
3036,"1,583",Tracy, MO,202
3037,"1,583",Calumet, MI,765
3038,"1,582",Lewiston, ME,"36,410"
3039,"1,582",Aulander, NC,806
3040,"1,582",Yuba City, CA,"65,141"
3041,"1,581",Shelby, OH,"9,149"
3042,"1,581",Granite Quarry, NC,"2,971"
3043,"1,579",Vista, CA,"96,181"
3044,"1,578",Willits, CA,"4,853"
3045,"1,577",Phoenix, IL,"2,143"
3046,"1,577",Monroe, WA,"17,564"
3047,"1,577",Rochelle, GA,"1,012"
3048,"1,577",Stanwood, WA,"6,468"
3049,"1,576",Troup, TX,"1,812"
3050,"1,575",Bonham, TX,"10,059"
3051,"1,575",Umatilla, FL,"3,545"
3052,"1,574",Pembroke, GA,"2,895"
3053,"1,574",Batavia, NY,"15,274"
3054,"1,574",Jersey Village, TX,"7,795"
3055,"1,574",Dearborn Heights, MI,"57,063"
3056,"1,574",Waxahachie, TX,"31,045"
3057,"1,573",Lacey, WA,"44,031"
3058,"1,573",Sparks, GA,"2,128"
3059,"1,572",Madison Heights, MI,"30,028"
3060,"1,572",Erwin, NC,"4,551"
3061,"1,571",Hallettsville, TX,"2,569"
3062,"1,571",Marietta, OK,"2,659"
3063,"1,570",Glouster, OH,"1,745"
3064,"1,570",Norwich, CT,"40,378"
3065,"1,570",Lemoore, CA,"24,788"
3066,"1,570",San Marcos, TX,"51,289"
3067,"1,570",Lane, SC,496
3068,"1,569",Reynoldsburg, OH,"36,439"
3069,"1,569",Sierra Vista, AZ,"45,365"
3070,"1,569",Prosperity, SC,"1,058"
3071,"1,569",West Branch, MI,"2,051"
3072,"1,569",White Settlement, TX,"16,571"
3073,"1,567",Brazoria, TX,"3,038"
3074,"1,567",Westbrook, ME,"17,662"
3075,"1,566",Dubuque, IA,"58,068"
3076,"1,565",Wheatland, WY,"3,633"
3077,"1,565",Sheridan, AR,"4,749"
3078,"1,565",Moundville, AL,"2,417"
3079,"1,564",Maiden, NC,"3,339"
3080,"1,564",Inglis, FL,"1,306"
3081,"1,564",Lebanon, KY,"5,594"
3082,"1,563",Ferndale, WA,"12,040"
3083,"1,563",Anoka, MN,"17,202"
3084,"1,563",Douglas, AZ,"17,137"
3085,"1,563",Millbrook, AL,"14,858"
3086,"1,563",Weatherly, PA,"2,535"
3087,"1,563",Ridgecrest, CA,"28,282"
3088,"1,563",Sheboygan, WI,"48,918"
3089,"1,562",Sudan, TX,"1,051"
3090,"1,562",Fort Payne, AL,"14,115"
3091,"1,562",Duenweg, MO,"1,083"
3092,"1,561",Brownstown, IN,"2,960"
3093,"1,561",Little Falls, NY,"4,909"
3094,"1,560",Farmersville, CA,"10,675"
3095,"1,560",Crocker, MO,910
3096,"1,560",Ventura, CA,0
3097,"1,559",La Crosse, WI,"51,864"
3098,"1,559",Brinkley, AR,"3,074"
3099,"1,559",Winterville, NC,"9,424"
3100,"1,559",Greenup, IL,"1,794"
3101,"1,559",South Chicago Heights, IL,"4,164"
3102,"1,559",Petersburg, AK,"2,926"
3103,"1,558",Kerens, TX,"1,895"
3104,"1,558",Ormond Beach, FL,"38,502"
3105,"1,558",Celina, OH,"10,374"
3106,"1,558",Dunwoody, GA,"47,182"
3107,"1,558",Farmington, MO,"17,213"
3108,"1,558",Lockhart, TX,"12,966"
3109,"1,558",Nolanville, TX,"4,429"
3110,"1,558",Oakville, WA,706
3111,"1,555",Burlington, NJ,"9,865"
3112,"1,555",Garnett, KS,"3,345"
3113,"1,554",Lavon, TX,"2,367"
3114,"1,554",Pass Christian, MS,"4,957"
3115,"1,554",Princeton, KY,"6,274"
3116,"1,554",Montrose, CO,"19,018"
3117,"1,553",Chicago Ridge, IL,"14,410"
3118,"1,553",Palm Beach Shores, FL,"1,097"
3119,"1,552",Calhoun Falls, SC,"1,912"
3120,"1,551",Fort Deposit, AL,"1,366"
3121,"1,551",Riverside, OH,"25,143"
3122,"1,551",Harrisburg, IL,"8,989"
3123,"1,550",Palmer, AK,"6,250"
3124,"1,549",Saugus, MA,"27,369"
3125,"1,549",Auxvasse, MO,"1,009"
3126,"1,548",Early, TX,"2,797"
3127,"1,548",Hillsboro, TX,"8,394"
3128,"1,548",Newport, MN,"3,455"
3129,"1,548",Dickinson, TX,"19,135"
3130,"1,547",Hollis, OK,"2,110"
3131,"1,547",Sutter Creek, CA,"2,271"
3132,"1,547",Kellogg, ID,"2,275"
3133,"1,547",Hanceville, AL,"3,163"
3134,"1,546",Waynesboro, VA,"21,177"
3135,"1,545",Gardendale, AL,"13,809"
3136,"1,544",Lamar, CO,"7,810"
3137,"1,543",Rocky Mount, VA,"4,795"
3138,"1,542",Wellsville, NY,"4,621"
3139,"1,542",Snellville, GA,"18,939"
3140,"1,542",Lawrence, IN,"46,796"
3141,"1,542",Fairfield, OH,"42,643"
3142,"1,541",Overton, TX,"2,310"
3143,"1,541",Nashville, NC,"5,469"
3144,"1,541",Mount Holly, NC,"13,815"
3145,"1,541",Fowlerville, MI,"2,929"
3146,"1,541",La Vergne, TN,"33,637"
3147,"1,541",Moore, OK,"57,563"
3148,"1,540",Dauphin Island, AL,"1,291"
3149,"1,540",Lake Providence, LA,"3,899"
3150,"1,540",Detroit Lakes, MN,"8,834"
3151,"1,540",Harker Heights, TX,"27,757"
3152,"1,540",Winthrop, WA,384
3153,"1,539",Bedford, VA,"6,508"
3154,"1,539",Absecon, NJ,"8,400"
3155,"1,539",Freeland, PA,"3,509"
3156,"1,539",Commerce, GA,"6,535"
3157,"1,539",Rawlins, WY,"9,198"
3158,"1,539",Havre De Grace, MD,"13,360"
3159,"1,539",Gregory, TX,"2,096"
3160,"1,539",Frederick, OK,"3,837"
3161,"1,538",King, NC,"6,732"
3162,"1,538",West Covina, CA,"107,441"
3163,"1,538",Gervais, OR,"2,527"
3164,"1,538",Richmond, TX,"11,769"
3165,"1,537",Bluff City, TN,"1,791"
3166,"1,537",Cheyenne, WY,"61,470"
3167,"1,537",Mcrae, GA,"5,762"
3168,"1,536",Oxford, ME,"1,401"
3169,"1,536",Ocean Shores, WA,"5,609"
3170,"1,536",Hastings, MI,"7,313"
3171,"1,536",Rutledge, TN,"1,393"
3172,"1,536",Loves Park, IL,"24,435"
3173,"1,535",Floodwood, MN,555
3174,"1,535",Lawrenceville, VA,"1,404"
3175,"1,535",Oconto, WI,"4,510"
3176,"1,535",Halls, TN,"2,621"
3177,"1,535",Oakdale, MN,"27,705"
3178,"1,534",Sealy, TX,"6,181"
3179,"1,534",Summersville, MO,515
3180,"1,534",Greensboro, MD,"2,195"
3181,"1,534",Williston, ND,"19,849"
3182,"1,534",Dixon, CA,"18,718"
3183,"1,534",Saint Marys, GA,"17,555"
3184,"1,534",Neptune City, NJ,"4,849"
3185,"1,533",Sterling, CO,"14,709"
3186,"1,533",Pico Rivera, CA,"63,698"
3187,"1,533",Bartlesville, OK,"36,193"
3188,"1,532",Almont, MI,"2,670"
3189,"1,532",Trussville, AL,"20,229"
3190,"1,531",Houston, MO,"2,208"
3191,"1,531",Saint Matthews, KY,"17,686"
3192,"1,529",Royal Palm Beach, FL,"35,482"
3193,"1,529",Hazleton, PA,"25,179"
3194,"1,529",Corry, PA,"6,546"
3195,"1,528",Idaho Falls, ID,"57,935"
3196,"1,528",Poteet, TX,"3,331"
3197,"1,527",Parchment, MI,"1,867"
3198,"1,527",Dryden, NY,"2,100"
3199,"1,527",West Haven, CT,"55,290"
3200,"1,527",Paso Robles, CA,0
3201,"1,527",Freeport, IL,"25,225"
3202,"1,527",Oceanside, CA,"171,400"
3203,"1,527",West Melbourne, FL,"19,208"
3204,"1,527",Flagler Beach, FL,"4,595"
3205,"1,526",Suffolk, VA,"85,477"
3206,"1,526",Hueytown, AL,"15,956"
3207,"1,526",Bristol, PA,"9,657"
3208,"1,525",Decatur, GA,"19,888"
3209,"1,525",Redwood Falls, MN,"5,174"
3210,"1,525",Manassas, VA,"40,436"
3211,"1,525",Clovis, CA,"98,815"
3212,"1,525",Eatontown, NJ,"12,323"
3213,"1,524",North Brentwood, MD,509
3214,"1,524",Oswego, NY,"18,119"
3215,"1,524",Lewiston, ID,"32,178"
3216,"1,523",Montague, MA,0
3217,"1,523",Beachwood, OH,"11,855"
3218,"1,522",Bloomington, IL,"77,883"
3219,"1,522",Bridgeport, MI,"6,615"
3220,"1,521",Dixon, MO,"1,452"
3221,"1,521",Fairview, OK,"2,613"
3222,"1,521",New Tazewell, TN,"2,994"
3223,"1,521",Hudson, WI,"13,023"
3224,"1,521",Seymour, TX,"2,521"
3225,"1,520",Westlake, LA,"4,585"
3226,"1,520",Culpeper, VA,"16,968"
3227,"1,520",Meriden, CT,"60,616"
3228,"1,520",Westport, WA,"1,869"
3229,"1,519",Malone, NY,"5,866"
3230,"1,519",Hancock, MD,"1,776"
3231,"1,519",Belhaven, NC,"1,787"
3232,"1,519",Oneida, NY,"11,290"
3233,"1,518",Kountze, TX,"2,108"
3234,"1,518",Wauwatosa, WI,"46,838"
3235,"1,518",Eldorado, IL,"4,139"
3236,"1,518",Richland Hills, TX,"7,933"
3237,"1,518",Linden, NJ,"41,054"
3238,"1,517",Coupeville, WA,"2,128"
3239,"1,517",New Braunfels, TX,"61,712"
3240,"1,517",Cerritos, CA,"49,599"
3241,"1,517",Altoona, PA,"45,987"
3242,"1,517",Morgantown, WV,"30,133"
3243,"1,516",Carrabelle, FL,"2,790"
3244,"1,516",Valliant, OK,834
3245,"1,516",Kingston, NY,"23,707"
3246,"1,516",El Monte, CA,"115,243"
3247,"1,516",Ashland, VA,"7,264"
3248,"1,516",Wingate, NC,"3,708"
3249,"1,515",Marlow, OK,"4,635"
3250,"1,515",Hollister, CA,"36,067"
3251,"1,514",Menominee, MI,"8,516"
3252,"1,514",Weatherford, OK,"11,410"
3253,"1,513",Bell Gardens, CA,"42,712"
3254,"1,513",Waynesboro, MS,"4,998"
3255,"1,513",Webster, MA,"12,135"
3256,"1,512",Traverse City, MI,"15,006"
3257,"1,512",Lindale, TX,"5,169"
3258,"1,512",Cambridge, MA,"106,844"
3259,"1,511",Pasco, WA,"65,858"
3260,"1,511",Shoreline, WA,"54,254"
3261,"1,511",Posen, IL,"5,934"
3262,"1,510",Fort Mill, SC,"12,068"
3263,"1,510",Apple Valley, CA,"70,561"
3264,"1,510",Nanty Glo, PA,0
3265,"1,510",Rochester, NH,"29,883"
3266,"1,509",Kosciusko, MS,"7,302"
3267,"1,509",Weaverville, NC,"3,783"
3268,"1,509",Norwalk, CA,"106,455"
3269,"1,509",Blaine, WA,"4,829"
3270,"1,508",Glassport, PA,"4,485"
3271,"1,508",Eustis, FL,"18,920"
3272,"1,508",Avon, MA,0
3273,"1,508",Freer, TX,"2,781"
3274,"1,508",Point Pleasant Beach, NJ,"4,664"
3275,"1,507",Newport, NH,"4,818"
3276,"1,505",Lake Ozark, MO,"1,588"
3277,"1,505",Delaware, OH,"36,188"
3278,"1,505",Wright City, MO,"3,297"
3279,"1,505",Storm Lake, IA,"10,743"
3280,"1,505",Big Rapids, MI,"10,543"
3281,"1,505",Urbana, OH,"11,587"
3282,"1,505",Murray, KY,"18,375"
3283,"1,504",Azusa, CA,"47,420"
3284,"1,504",Dayton, TX,"7,350"
3285,"1,503",Mcintyre, GA,893
3286,"1,503",College Station, TX,"98,505"
3287,"1,502",Belton, TX,"19,292"
3288,"1,502",Merrillville, IN,"35,262"
3289,"1,502",Farmington, NH,"3,562"
3290,"1,502",Pasadena, CA,"139,065"
3291,"1,502",Augusta, AR,"2,385"
3292,"1,502",Adams, MA,"5,460"
3293,"1,500",Kenosha, WI,"99,709"
3294,"1,499",Morrison, CO,400
3295,"1,499",Massillon, OH,"32,224"
3296,"1,499",White Pigeon, MI,"1,528"
3297,"1,499",Buena, NJ,"4,623"
3298,"1,498",Port Deposit, MD,639
3299,"1,498",Pittsboro, NC,"3,912"
3300,"1,497",Auburn, ME,"22,960"
3301,"1,497",Festus, MO,"11,740"
3302,"1,497",Greenwood, IN,"52,799"
3303,"1,497",Oak Hill, WV,"8,270"
3304,"1,497",Greenwood, DE,"1,182"
3305,"1,496",Exmore, VA,"1,595"
3306,"1,496",Oak Park, IL,"51,988"
3307,"1,496",Libby, MT,"2,667"
3308,"1,496",Mission, TX,"80,538"
3309,"1,496",El Paso, TX,"669,771"
3310,"1,495",Cedar Hill, TX,"46,414"
3311,"1,495",Abingdon, VA,"8,176"
3312,"1,495",Downingtown, PA,"7,921"
3313,"1,495",Palmetto, GA,"4,893"
3314,"1,495",Indiana, PA,"14,025"
3315,"1,495",Fairhaven, MA,0
3316,"1,495",Lamar, AR,"1,524"
3317,"1,495",Morristown, NJ,"18,580"
3318,"1,495",East Liverpool, OH,"11,065"
3319,"1,495",Beverly Hills, CA,"34,536"
3320,"1,494",Plymouth, NH,"3,807"
3321,"1,494",University Place, WA,"31,670"
3322,"1,494",Southbridge, MA,"13,068"
3323,"1,494",Aberdeen, MS,"5,492"
3324,"1,494",Roanoke, AL,"6,013"
3325,"1,494",Mount Crested Butte, CO,799
3326,"1,494",Palmyra, WI,"1,668"
3327,"1,493",Wilton, ME,"2,097"
3328,"1,493",Yemassee, SC,819
3329,"1,493",Cudahy, WI,"18,321"
3330,"1,493",Seminole, FL,"17,477"
3331,"1,493",Chickamauga, GA,"3,125"
3332,"1,492",Creedmoor, NC,"4,228"
3333,"1,492",Northampton, MA,"28,637"
3334,"1,491",Hi Nella, NJ,817
3335,"1,490",Summerville, SC,"44,717"
3336,"1,490",Bedford, OH,"12,927"
3337,"1,489",Escalon, CA,"7,252"
3338,"1,489",Santa Ana, CA,"331,266"
3339,"1,488",Huber Heights, OH,"38,484"
3340,"1,488",Colby, KS,"5,411"
3341,"1,488",Silvis, IL,"7,525"
3342,"1,488",Hephzibah, GA,"4,026"
3343,"1,488",Mountain Grove, MO,"4,704"
3344,"1,488",Irmo, SC,"11,518"
3345,"1,488",Prescott, AZ,"40,130"
3346,"1,488",Merrill, WI,"9,491"
3347,"1,487",Montgomery, TX,639
3348,"1,487",Butler, MO,"4,112"
3349,"1,487",Riverbank, CA,"23,310"
3350,"1,487",Carlin, NV,"2,409"
3351,"1,487",Santa Rosa, CA,"170,782"
3352,"1,487",Algood, TN,"3,538"
3353,"1,486",Whitewright, TX,"1,944"
3354,"1,486",Burr Oak, MI,817
3355,"1,486",Waupaca, WI,"6,016"
3356,"1,486",Bell, CA,"35,896"
3357,"1,485",Bee Cave, TX,"4,910"
3358,"1,485",West Tawakoni, TX,"1,683"
3359,"1,484",Faribault, MN,"23,460"
3360,"1,484",Prairie View, TX,"5,890"
3361,"1,484",Knob Noster, MO,"2,761"
3362,"1,483",La Veta, CO,867
3363,"1,483",Cuba, NM,617
3364,"1,482",Noel, MO,"2,012"
3365,"1,482",Lexington, MO,"4,676"
3366,"1,482",Ault, CO,"1,558"
3367,"1,482",Peoria Heights, IL,"6,056"
3368,"1,481",Franklin, OH,"11,817"
3369,"1,481",Runnemede, NJ,"8,435"
3370,"1,481",Glenn Heights, TX,"11,671"
3371,"1,480",Anaheim, CA,"342,973"
3372,"1,480",East Cleveland, OH,"17,619"
3373,"1,480",Lawndale, CA,"33,155"
3374,"1,479",Fort Collins, CO,"149,627"
3375,"1,479",Seaside Park, NJ,"1,406"
3376,"1,479",Menands, NY,"4,004"
3377,"1,478",Cudahy, CA,"24,073"
3378,"1,478",Magnolia, NJ,"4,329"
3379,"1,477",Decatur, TX,"6,201"
3380,"1,477",Denton, TX,"122,742"
