Rank,Crime Index,City,State,Population
5406,"1,010",Big Bend, WI,"1,327"
5407,"1,009",Daly City, CA,"103,897"
5408,"1,009",La Verne, CA,"31,592"
5409,"1,009",Milford, TX,721
5410,"1,009",Lancaster, KY,"3,779"
5411,"1,009",Fairview, NJ,"14,126"
5412,"1,008",Williamson, WV,"3,118"
5413,"1,008",Williamsburg, KY,"5,260"
5414,"1,008",Quitman, AR,976
5415,"1,008",Rose City, TX,432
5416,"1,008",Truesdale, MO,935
5417,"1,008",Lighthouse Point, FL,"10,693"
5418,"1,007",Bremond, TX,954
5419,"1,007",Wendell, ID,"2,736"
5420,"1,007",Washington, UT,"20,999"
5421,"1,007",Kingston, TN,"5,888"
5422,"1,006",Torrington, CT,"35,774"
5423,"1,006",Lafayette, TN,"4,731"
5424,"1,006",Chisholm, MN,"5,001"
5425,"1,006",Dover, NJ,"18,298"
5426,"1,006",Charleston, TN,674
5427,"1,006",Sebastopol, CA,"7,535"
5428,"1,005",Coal Township, PA,0
5429,"1,005",Crafton, PA,"5,931"
5430,"1,005",La Salle, CO,"2,559"
5431,"1,004",Sand Lake, MI,"1,535"
5432,"1,004",Essexville, MI,"3,451"
5433,"1,004",Woodbridge, NJ,"20,434"
5434,"1,004",Utica, OH,"2,388"
5435,"1,004",Flat Rock, MI,"9,859"
5436,"1,004",Smithfield, VA,"8,159"
5437,"1,004",Schertz, TX,"35,093"
5438,"1,003",Greers Ferry, AR,807
5439,"1,003",Powers Lake, ND,411
5440,"1,003",Miles City, MT,"8,553"
5441,"1,003",Calverton Park, MO,"1,220"
5442,"1,003",Waynesboro, TN,"2,649"
5443,"1,003",Hampton, NH,"9,417"
5444,"1,003",Voorhees, NJ,775
5445,"1,003",Forney, TX,"16,017"
5446,"1,002",Church Hill, TN,"6,742"
5447,"1,002",Pearland, TX,"97,427"
5448,"1,002",La Verkin, UT,0
5449,"1,002",Brantley, AL,"1,016"
5450,"1,001",Round Lake Beach, IL,"28,048"
5451,"1,001",Clarksville, VA,"1,226"
5452,"1,001",Sauk Centre, MN,"4,317"
5453,"1,001",Beaverton, MI,"1,042"
5454,"1,000",Sellersburg, IN,"8,004"
5455,"1,000",Estherville, IA,"6,177"
5456,"1,000",Burnsville, MN,"61,059"
5457,"1,000",Laramie, WY,"31,601"
5458,"1,000",Jay, OK,"2,481"
5459,"1,000",South Milwaukee, WI,"21,210"
5460,999,Toms River, NJ,"89,459"
5461,999,Cold Spring, KY,"6,093"
5462,999,Allen Park, MI,"27,869"
5463,998,Stamford, CT,"125,401"
5464,998,Troy, TX,"1,771"
5465,998,Collinsville, OK,"5,970"
5466,998,Grosse Pointe, MI,"5,350"
5467,998,Skagway, AK,932
5468,998,Waynoka, OK,"1,081"
5469,998,Yale, MI,"1,843"
5470,997,Swanton, OH,"3,899"
5471,997,New Hope, AL,"2,813"
5472,997,Framingham, MA,"69,900"
5473,997,Decatur, AR,"2,275"
5474,997,Bessemer City, NC,"5,410"
5475,997,Carnegie, OK,"2,021"
5476,997,League City, TX,"88,979"
5477,997,Mount Juliet, TN,"27,053"
5478,997,Northumberland, PA,"3,772"
5479,997,Mansfield, TX,"59,757"
5480,997,Brownville, ME,0
5481,996,Eton, GA,879
5482,996,Cowan, TN,"1,439"
5483,996,Wappingers Falls, NY,"5,377"
5484,996,Deerfield, MA,818
5485,996,Saint Peters, MO,"54,236"
5486,996,Tonawanda, NY,"15,048"
5487,995,Brookhaven, PA,"8,045"
5488,995,Orrville, OH,"8,389"
5489,995,Perrysville, OH,710
