Rank,Population Growth Rate,City,State,Population
28669,-56.93%,Alamo, IN,59
15802,1.07%,Alamo Heights, TX,"7,397"
28076,-43.59%,Alamo Lake, AZ,22
23135,-12.25%,Alamogordo, NM,"31,224"
7553,18.43%,Alamosa, CO,"9,427"
10913,9.36%,Alamosa East, CO,"1,671"
26366,-25.48%,Alanson, MI,585
16306,0.29%,Alapaha, GA,684
29236,-94.29%,Alatna, AK,2
1455,86.28%,Alba, TX,801
10115,11.19%,Alba, MI,318
19496,-4.59%,Alba, MO,561
28139,-44.62%,Alba, PA,103
1640,78.61%,Albany, LA,"1,545"
3050,48.76%,Albany, OH,"1,202"
3394,44.71%,Albany, MN,"2,599"
5874,25.35%,Albany, OR,"51,210"
6252,23.64%,Albany, VT,204
7112,20.09%,Albany, TX,"2,307"
7969,16.98%,Albany, IL,"1,047"
8363,15.67%,Albany, CA,"19,020"
10744,9.71%,Albany, MO,"2,125"
14682,2.75%,Albany, NY,"98,287"
16461,0.01%,Albany, GA,"76,946"
17909,-2.02%,Albany, WI,"1,167"
24623,-17.27%,Albany, OK,115
25627,-21.49%,Albany, KY,"1,743"
25692,-21.92%,Albany, IN,"1,849"
28401,-50.00%,Albany, WY,40
26950,-30.00%,Albee, SD,7
15471,1.56%,Albemarle, NC,"15,924"
4716,32.46%,Albers, IL,"1,163"
23285,-12.71%,Albert, KS,158
19859,-5.22%,Albert City, IA,672
18078,-2.32%,Albert Lea, MN,"17,931"
21756,-8.82%,Alberta, VA,279
26566,-26.76%,Alberta, MN,104
5532,27.27%,Alberton, MT,476
17158,-0.88%,Albertson, NY,"5,154"
1205,97.71%,Albertville, MN,"7,159"
6203,23.87%,Albertville, AL,"21,363"
15015,2.21%,Albia, IA,"3,788"
2961,50.00%,Albin, WY,180
4835,31.70%,Albion, CA,295
10330,10.66%,Albion, IL,"2,139"
14671,2.76%,Albion, IN,"2,347"
19259,-4.23%,Albion, NE,"1,721"
19746,-5.04%,Albion, PA,"1,526"
21347,-7.96%,Albion, MI,"8,416"
22815,-11.36%,Albion, WA,546
25251,-19.85%,Albion, ID,210
25714,-22.04%,Albion, NY,"5,799"
26662,-27.36%,Albion, IA,430
27974,-41.96%,Albion, OK,83
7281,19.43%,Albright, WV,295
25519,-21.03%,Albrightsville, PA,154
6300,23.40%,Albuquerque, NM,"553,576"
15265,1.84%,Alburg, VT,497
10862,9.48%,Alburnett, IA,612
9743,12.05%,Alburtis, PA,"2,372"
25399,-20.42%,Alcalde, NM,300
2546,57.14%,Alcan Border, AK,33
22603,-10.80%,Alcester, SD,785
10345,10.63%,Alcoa, TN,"8,556"
1111,103.41%,Alcolu, SC,596
26656,-27.30%,Alcorn State University, MS,703
266,280.00%,Alcova, WY,76
18276,-2.61%,Alda, NE,635
18785,-3.45%,Aldan, PA,"4,164"
15507,1.50%,Alden, MI,135
18043,-2.25%,Alden, NY,"2,606"
19103,-3.99%,Alden, MN,626
24388,-16.37%,Alden, IA,756
27531,-35.71%,Alden, KS,108
20340,-6.03%,Alder, MT,109
28565,-53.98%,Alder, WA,133
6760,21.43%,Alderpoint, CA,255
8597,14.94%,Alderson, OK,300
21966,-9.26%,Alderson, WV,990
14954,2.33%,Alderton, WA,"2,937"
28086,-43.71%,Alderwood Manor, WA,"8,628"
10611,9.99%,Aldine, TX,"15,375"
19791,-5.10%,Aldora, GA,93
4089,37.74%,Aldrich, MN,73
16462,0.00%,Aldrich, MO,75
2092,66.05%,Aledo, TX,"2,866"
14434,3.07%,Aledo, IL,"3,724"
13508,4.52%,Aleknagik, AK,231
21026,-7.35%,Aleneva, AK,63
23655,-13.86%,Alex, OK,547
174,369.06%,Alexander, AR,"2,880"
5876,25.35%,Alexander, ND,272
8535,15.15%,Alexander, IA,190
10715,9.77%,Alexander, NY,528
28592,-54.67%,Alexander, KS,34
17443,-1.29%,Alexander City, AL,"14,815"
96,572.94%,Alexandria, OH,572
3331,45.45%,Alexandria, TN,"1,184"
4869,31.44%,Alexandria, SD,740
5093,29.99%,Alexandria, MN,"11,465"
8907,14.14%,Alexandria, VA,"146,422"
12114,6.91%,Alexandria, AL,"3,947"
13575,4.44%,Alexandria, KY,"8,654"
14137,3.54%,Alexandria, LA,"47,983"
16462,0.00%,Alexandria, PA,401
24815,-18.07%,Alexandria, MO,136
24938,-18.53%,Alexandria, IN,"5,100"
26261,-25.00%,Alexandria, NE,162
21366,-8.00%,Alexandria Bay, NY,"1,001"
16627,-0.12%,Alexis, IL,862
26623,-27.11%,Alfarata, PA,199
13519,4.51%,Alford, FL,487
26261,-25.00%,Alfordsville, IN,84
11434,8.19%,Alfred, NY,"4,278"
14916,2.40%,Alfred, TX,128
1496,84.27%,Alger, WA,164
14854,2.48%,Alger, OH,910
5055,30.23%,Algodones, NM,896
7320,19.29%,Algoma, MS,606
20378,-6.11%,Algoma, WI,"3,152"
5821,25.61%,Algona, WA,"3,090"
19084,-3.97%,Algona, IA,"5,513"
23009,-11.88%,Algonac, MI,"4,065"
5128,29.70%,Algonquin, IL,"30,189"
8693,14.70%,Algonquin, MD,"1,561"
7068,20.26%,Algood, TN,"3,538"
11985,7.14%,Alhambra, IL,675
17673,-1.64%,Alhambra, CA,"84,400"
27828,-39.52%,Alhambra Valley, CA,499
609,158.70%,Ali Chuk, AZ,119
2657,55.07%,Ali Chukson, AZ,107
51,787.50%,Ali Molina, AZ,142
15271,1.83%,Alice, TX,"19,358"
27675,-37.50%,Alice, ND,35
26725,-27.90%,Alice Acres, TX,354
2865,51.62%,Aliceville, AL,"3,892"
12916,5.52%,Alicia, AR,153
10917,9.35%,Aline, OK,234
25366,-20.27%,Aliquippa, PA,"9,356"
6383,23.08%,Aliso Viejo, CA,"49,437"
26400,-25.77%,Allakaket, AK,72
234,300.00%,Allamuchy, NJ,100
23415,-13.08%,Allardt, TN,558
13856,3.97%,Allegan, MI,"5,030"
17099,-0.80%,Allegany, NY,"1,868"
940,116.98%,Alleghany, CA,115
3389,44.81%,Alleghenyville, PA,"1,199"
4426,34.85%,Alleman, IA,592
1071,106.28%,Allen, TX,"89,845"
2506,57.82%,Allen, KS,333
2590,56.32%,Allen, SD,655
13779,4.10%,Allen, OK,990
15913,0.89%,Allen, MI,227
25931,-23.11%,Allen, NE,316
28978,-70.37%,Allen, MD,88
7139,20.00%,Allen City, KY,180
19811,-5.13%,Allen Park, MI,"27,869"
1788,74.07%,Allendale, MO,94
2416,59.18%,Allendale, MI,"18,393"
7178,19.89%,Allendale, IL,633
16898,-0.49%,Allendale, NJ,"6,666"
20612,-6.55%,Allendale, CA,"1,613"
24765,-17.87%,Allendale, SC,"3,328"
26904,-29.57%,Allenhurst, GA,555
27207,-32.31%,Allenhurst, NJ,486
6514,22.57%,Allenport, PA,592
24289,-16.03%,Allenport borough, PA,461
5505,27.42%,Allenspark, CO,632
12715,5.85%,Allensville, PA,452
26157,-24.34%,Allensville, KY,143
1019,110.53%,Allensworth, CA,480
8079,16.58%,Allenton, WI,928
10015,11.40%,Allentown, PA,"118,793"
14189,3.45%,Allentown, FL,990
18421,-2.87%,Allentown, NJ,"1,828"
24187,-15.68%,Allentown, GA,242
24165,-15.58%,Allenville, IL,130
26584,-26.92%,Allenville, MO,76
10934,9.30%,Allenwood, NJ,"1,022"
17842,-1.91%,Allenwood, PA,513
24048,-15.21%,Allerton, IA,474
24488,-16.72%,Allerton, IL,244
18807,-3.50%,Allgood, AL,607
14718,2.69%,Alliance, NC,802
19473,-4.55%,Alliance, OH,"22,196"
19800,-5.11%,Alliance, NE,"8,501"
1807,73.64%,Alligator, MS,382
7771,17.69%,Allison, IA,"1,184"
10630,9.94%,Allison, PA,564
20542,-6.40%,Allison Park, PA,"20,867"
1880,71.43%,Allisonia, VA,156
22165,-9.68%,Allouez, WI,"13,948"
2869,51.60%,Alloway, NJ,"1,710"
1613,79.53%,Allport, AR,228
2942,50.41%,Allport, PA,367
2847,51.92%,Allyn, WA,"2,098"
1278,94.41%,Alma, CO,348
4246,36.42%,Alma, TX,412
4703,32.55%,Alma, AR,"5,514"
11264,8.59%,Alma, GA,"3,514"
14075,3.64%,Alma, KS,826
16389,0.15%,Alma, MI,"9,289"
17256,-1.04%,Alma, IL,382
19455,-4.53%,Alma, NE,"1,159"
20329,-6.02%,Alma, MO,375
24969,-18.68%,Alma, WI,766
8208,16.14%,Alma Center, WI,518
29093,-77.27%,Almanor, CA,10
19088,-3.98%,Almedia, PA,"1,014"
9868,11.73%,Almena, KS,524
19402,-4.44%,Almena, WI,688
24252,-15.89%,Almira, WA,254
8238,16.05%,Almond, NY,535
17610,-1.53%,Almond, WI,452
4171,37.08%,Almont, ND,122
19587,-4.74%,Almont, MI,"2,670"
13013,5.33%,Almyra, AR,336
5632,26.74%,Aloha, OR,"52,902"
14885,2.45%,Alondra Park, CA,"8,833"
27641,-37.10%,Alorton, IL,"1,729"
5522,27.33%,Alpaugh, CA,969
7821,17.52%,Alpena, AR,436
9880,11.70%,Alpena, SD,296
21652,-8.56%,Alpena, MI,"10,336"
1171,100.00%,Alpha, MN,252
20604,-6.53%,Alpha, NJ,"2,320"
24807,-18.04%,Alpha, IL,595
28711,-58.08%,Alpha, MI,83
1763,74.74%,Alpharetta, GA,"60,903"
68,705.88%,Alpine, CO,137
4069,37.92%,Alpine, UT,"9,856"
4378,35.27%,Alpine, WY,744
10204,10.93%,Alpine, CA,"14,580"
13756,4.15%,Alpine, TX,"6,026"
25658,-21.67%,Alpine, NJ,"1,710"
26239,-24.85%,Alpine, AZ,127
28464,-51.43%,Alpine, OR,136
29193,-87.80%,Alpine Northeast, WY,10
1290,94.08%,Alpine Northwest, WY,295
25876,-22.79%,Alpine Village, CA,105
28084,-43.68%,Alsace Manor, PA,285
27144,-31.73%,Alsea, OR,142
25068,-19.12%,Alsen, ND,55
11893,7.32%,Alsey, IL,264
17724,-1.72%,Alsip, IL,"19,385"
17423,-1.26%,Alston, GA,157
14564,2.90%,Alta, IA,"1,919"
18208,-2.50%,Alta, WY,390
21143,-7.57%,Alta, UT,342
26739,-28.07%,Alta, CA,369
12729,5.83%,Alta Sierra, CA,"6,902"
11938,7.24%,Alta Vista, KS,474
14884,2.45%,Alta Vista, IA,293
13396,4.72%,Altadena, CA,"44,622"
28222,-46.29%,Altamahaw, NC,376
2404,59.55%,Altamont, UT,284
6982,20.59%,Altamont, SD,41
16074,0.64%,Altamont, KS,"1,099"
17337,-1.14%,Altamont, IL,"2,257"
17686,-1.66%,Altamont, OR,"19,278"
20218,-5.81%,Altamont, TN,"1,070"
21038,-7.37%,Altamont, NY,"1,609"
21496,-8.26%,Altamont, MO,200
29030,-73.60%,Altamont, PA,710
15377,1.67%,Altamonte Springs, FL,"41,889"
15901,0.91%,Altavista, VA,"3,456"
2922,50.81%,Altenburg, MO,466
6568,22.33%,Altha, FL,619
24019,-15.10%,Altheimer, AR,"1,012"
12631,5.98%,Altmar, NY,372
5761,25.91%,Alto, GA,"1,103"
7938,17.10%,Alto, CA,678
10123,11.18%,Alto, TX,"1,323"
